"","ID_no_Rep_dup","LogPopBio","Time","I(Time^2)",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"782","144_1",5.10989010989013,94.0892641737033,8852.78963274893,5.85431389848242,-0.744423788592287,0.197866420219349,0.669981965203607,0.116119406765942,-1.18836631259373
"783","144_1",7.96703296703298,166.465621230398,27710.8030516223,7.6358786723755,0.33115429465748,0.307810892042301,0.745226895441426,0.0480043801109038,0.569077544791693
"784","144_1",9.61538461538463,218.576598311218,47775.7293293035,8.81059631443986,0.804788300944765,0.287018584495917,0.636683349742402,0.249173888198078,1.36268660738807
"785","144_1",9.89010989010991,266.344993968637,70939.6558121533,9.80798397149671,0.0821259186131957,0.272074617845078,0.764980982279816,0.00235971962051781,0.137622754776219
"786","144_1",10.8241758241758,339.686369119421,115386.829365536,11.1914383515435,-0.367262527367712,0.827244858194522,0.656426183117693,2.54748109693491,-1.26332347245822
"787","145_1",4.06593406593407,6.27261761158023,39.3457317011065,3.67623143335115,0.389702632582916,0.289473687737124,0.463541514487497,0.135132476433933,0.997530150078476
"788","145_1",5.43956043956045,23.642943305187,558.988768132287,5.44308544777388,-0.00352500821342971,0.200944168667849,0.478663823100832,6.06856093475673e-06,-0.00850852628221244
"789","145_1",5.82417582417583,30.8805790108565,953.610160045751,6.14834271668851,-0.324166892512682,0.173897931635944,0.469723078163383,0.0415535953715122,-0.769545985880146
"790","145_1",7.52747252747253,45.8383594692401,2101.15519883127,7.54821571981285,-0.0207431923403236,0.133168510928701,0.478630337601297,0.000118338937825989,-0.0480718713460032
"791","145_1",8.1868131868132,55.4885404101327,3078.97811684693,8.41011705444762,-0.223303867634419,0.116051324870494,0.474720280466442,0.0114929836286501,-0.512466516306758
"792","145_1",9.72527472527473,75.2714113389626,5665.78536495931,10.0758897037724,-0.350614978497658,0.0981573739140831,0.469076441050769,0.0230232504578392,-0.796613863619147
"793","145_1",11.7582417582418,99.3968636911943,9879.73651164586,11.9233456958006,-0.165103937558763,0.0975442125663548,0.47655679494101,0.0050665087090679,-0.374996520229829
"794","145_1",14.8351648351648,144.270205066345,20813.8920698852,14.8218839218562,0.0132809133085523,0.119855383730238,0.478650950187671,4.23496329102556e-05,0.030544547627719
"795","145_1",17.4175824175824,174.185765983112,30340.6810711235,16.3656733338044,1.05190908377802,0.130630140484826,0.3798267860733,0.2967802111365,2.43421362990526
"796","145_1",18.1318681318681,196.86369119421,38755.3129106093,17.3288226368287,0.803045495039399,0.130928364081262,0.42385263266136,0.17347910909895,1.85863938702347
"797","145_1",18.2967032967033,220.506634499397,48623.1758582507,18.14275613384,0.153947162863275,0.123772583174876,0.47677765050225,0.0059289590602768,0.354851009160006
"798","145_1",18.5164835164835,240.772014475271,57971.1629544801,18.6858751997684,-0.169391683284925,0.113574095643547,0.476405391518416,0.00643610128481381,-0.388198308079537
"799","145_1",18.6263736263736,247.044632086852,61031.0502429281,18.8250732713744,-0.198699645000818,0.110170425206577,0.475565039112266,0.00852491052135376,-0.45449221357278
"800","145_1",18.7912087912088,270.205066344994,73010.7778785026,19.2206450365422,-0.429436245333381,0.0996180687818182,0.464182593647195,0.0351662665449019,-0.976490641779873
"801","145_1",18.8461538461539,286.610373944511,82145.5064526124,19.3881120987163,-0.541958252562395,0.0974674482849752,0.455438469017772,0.0545393312163497,-1.23088412513831
"802","145_1",19.010989010989,313.148371531966,98061.9025931222,19.4610909490796,-0.450101938090572,0.11402967313903,0.462466925665682,0.0456715326046587,-1.03177278591066
"803","145_1",19.0659340659341,334.37876960193,111809.161560501,19.3433441303047,-0.277410064370564,0.156511769126548,0.472268677738727,0.026271064190453,-0.651726639920993
"804","145_1",19.1208791208791,360.916767189385,130260.912838437,18.9759982330041,0.144880887874962,0.265898405777258,0.476669554894808,0.0160719987539251,0.364851208628644
"805","145_1",19.0659340659341,383.594692400482,147144.88803782,18.4682445359813,0.597689529952806,0.428306432248496,0.432969114147118,0.726479852501277,1.70559835799656
"806","146_1",0.648417773792389,1.48665549708571,2.21014456701516,0.1986605256366,0.449757248155789,0.0437206205742467,0.579354294522018,0.00962830522139692,0.794849286242533
"807","146_1",0.16119593175543,2.82464544446282,7.97862188692456,0.282401240101192,-0.121205308345762,0.0421615808763547,0.580504987837476,0.000672128690578591,-0.214029938875088
"808","146_1",0.517592090048848,4.27000495551833,18.2329423201511,0.372356431595005,0.145235658453843,0.0405346115658614,0.580466038760863,0.0009246783251004,0.256246306789144
"809","146_1",0.84180097694504,5.01126790475968,25.1128060132745,0.418286943083156,0.423514033861884,0.0397228450371095,0.579499559320305,0.00769235883762523,0.746910423910201
"810","146_1",0.679047596573614,6.39055383816695,40.8391783585103,0.503383470976284,0.17566412559733,0.0382524923798323,0.580406848642484,0.00127051713390299,0.309564788961669
"811","146_1",0.483847370035636,7.76571017297121,60.3062544905885,0.587749307332979,-0.103901937297343,0.0368375863596744,0.580529179663163,0.000426791907564737,-0.182967053863691
"812","146_1",0.6453028765604,9.88625905561983,97.7381181148251,0.716913601099823,-0.0716107245394227,0.0347531677531399,0.580563722399081,0.000190436650257291,-0.12596731962271
"813","146_1",0.839983953559716,9.91103664723792,98.2286474228931,0.718416144901528,0.121567808658188,0.0347294982759911,0.580505145559381,0.000548421393892381,0.213842037680164
"814","146_1",0.968213889609928,14.127356820917,199.58221074551,0.971852277683668,-0.0036383880737404,0.0309248999839375,0.580594767337306,4.33998516117151e-07,-0.00638747649722409
"815","146_1",0.869575477263609,17.6148028411638,310.281279133072,1.17810137264767,-0.308525895384062,0.0280996667392365,0.580020789383582,0.00281914699493862,-0.540853654961883
"816","146_1",1.32357174882601,18.3725841848173,337.551849628199,1.22251270557571,0.101059043250298,0.0275225353807454,0.580533319290565,0.000295907847294648,0.177106468106652
"817","146_1",0.933430870519384,20.4229298912146,417.096065341467,1.3419540196059,-0.408523149086515,0.0260244756547063,0.579590137368329,0.00455822768699229,-0.715388018801901
