"","ID_no_Rep_dup","LogPopBio","Time","(weights)",".fitted",".resid"
"2666","43_1",6.52213012822471,177.992828713647,1,6.19893661365343,0.323193514571275
"2667","43_1",6.08439112775986,206.138176623676,1,6.2045165496823,-0.120125421922445
"2668","44_1",0.511137803384255,16.8931551284792,1,0.28025483126314,0.230882972121115
"2669","44_1",0.117633187091337,18.4560103421249,1,0.325594257394783,-0.207961070303446
"2670","44_1",0.924736272424052,31.4332902411467,1,1.08279169115723,-0.158055418733182
"2671","44_1",1.91770749566533,38.59172528222,1,1.75396233572854,0.163745159936785
"2672","44_1",2.87286320436215,49.2247223607733,1,2.85647088118271,0.0163923231794398
"2673","44_1",3.88913771516404,60.932182398708,1,3.932954505625,-0.0438167904609581
"2674","44_1",4.68451938639441,71.8861229586349,1,4.68030932754229,0.00421005885212278
"2675","44_1",5.30645203703893,88.1705161222461,1,5.3626323999355,-0.0561803628965709
"2676","44_1",5.84047408191588,111.39007929641,1,5.78969095399099,0.0507831279248947
"2677","45_1",0.109121207802729,49.0991357811053,1,0.0473183254404947,0.0618028823622343
"2678","45_1",0.168984144111125,98.9151457160599,1,0.217472533012105,-0.0484883889009801
"2679","45_1",0.757008418245299,148.828834101867,1,0.887570941843948,-0.130562523598649
"2680","45_1",1.57290256415477,174.378726032092,1,1.44369978639518,0.129202777759589
"2681","45_1",2.75020697821979,225.464555828134,1,2.72687629077402,0.0233306874457679
"2682","45_1",3.82927477885565,276.438753108915,1,3.87347571541089,-0.0442009365552409
"2683","45_1",4.73642850599051,327.21759348799,1,4.69727363806839,0.0391548679221216
"2684","45_1",5.34217444192226,401.774159617531,1,5.39285742547234,-0.0506829835500833
"2685","45_1",5.6285118435652,476.470266391148,1,5.71271538163527,-0.0842035380700743
"2686","45_1",5.98154967307622,576.367413484801,1,5.87690252608445,0.104647146991765
"2687","46_1",NA,NA,NA,NA,NA
"2688","47_1",NA,NA,NA,NA,NA
"2689","48_1",0.292058992185716,9.60913350773797,1,0.337716850707755,-0.0456578585220391
